town,flat_type,median_price,growth_rate,avg_remaining_lease,transaction_count,cluster_id,cluster_name,latest_median_price
ANG MO KIO,2 ROOM,266000.0,0.42857142857142855,57.42902930402931,182,2,Mature & Affordable,303000.0
ANG MO KIO,3 ROOM,350000.0,0.35906040268456374,58.740361484948956,5127,2,Mature & Affordable,405000.0
ANG MO KIO,4 ROOM,516000.0,0.3372093023255814,67.10497335701598,2815,2,Mature & Affordable,570000.0
ANG MO KIO,5 ROOM,745000.0,0.26938015267175575,71.07175765952545,1447,0,Premium,940000.0
ANG MO KIO,EXECUTIVE,920000.0,0.2719563900666263,66.11374695863748,137,0,Premium,1090000.0
BEDOK,2 ROOM,260000.0,0.41876430205949655,63.65904761904762,175,2,Mature & Affordable,324444.0
BEDOK,3 ROOM,340000.0,0.3287671232876712,58.9591939464796,5132,2,Mature & Affordable,405777.0
BEDOK,4 ROOM,490000.0,0.3284848484848485,67.05235482395976,4374,2,Mature & Affordable,547500.0
BEDOK,5 ROOM,638888.0,0.22921379310344828,65.62381796690308,2256,0,Premium,755000.0
BEDOK,EXECUTIVE,825000.0,0.2828767123287671,67.20448406266883,617,0,Premium,1030000.0
BISHAN,3 ROOM,415000.0,0.29733333333333334,60.52886597938144,485,2,Mature & Affordable,381500.0
BISHAN,4 ROOM,615000.0,0.2936936936936937,67.8762188068088,2017,0,Premium,725000.0
BISHAN,5 ROOM,825000.0,0.24666666666666667,69.49148565299008,1243,0,Premium,947500.0
BISHAN,EXECUTIVE,988444.0,0.287292817679558,67.33796296296296,432,0,Premium,1295000.0
BUKIT BATOK,2 ROOM,360000.0,0.0,93.97138554216868,332,0,Premium,428000.0
BUKIT BATOK,3 ROOM,350000.0,0.4923283582089552,67.62553968781135,3011,1,"Newer, High-Growth",408000.0
BUKIT BATOK,4 ROOM,515000.0,0.5532467532467532,76.81717725956409,4374,1,"Newer, High-Growth",608000.0
BUKIT BATOK,5 ROOM,720000.0,0.46754468485418627,81.23758475352757,1819,1,"Newer, High-Growth",802000.0
BUKIT BATOK,EXECUTIVE,728000.0,0.3253968253968254,66.7625,760,0,Premium,810000.0
BUKIT MERAH,1 ROOM,212500.0,0.3561643835616438,52.58617424242424,88,2,Mature & Affordable,
BUKIT MERAH,2 ROOM,268000.0,0.2608695652173913,54.95170789163722,283,2,Mature & Affordable,
BUKIT MERAH,3 ROOM,385000.0,0.23529411764705882,61.761838868388686,3252,2,Mature & Affordable,408000.0
BUKIT MERAH,4 ROOM,763000.0,0.25,78.75048746518105,3590,0,Premium,975000.0
BUKIT MERAH,5 ROOM,848000.0,0.20512820512820512,72.06255366649494,1941,0,Premium,780000.0
BUKIT PANJANG,2 ROOM,289000.0,0.375,91.687106918239,159,1,"Newer, High-Growth",
BUKIT PANJANG,3 ROOM,350444.0,0.3704918032786885,77.24264235444657,1042,1,"Newer, High-Growth",410000.0
BUKIT PANJANG,4 ROOM,460000.0,0.28157073170731706,79.58205321917232,3971,1,"Newer, High-Growth",555000.0
BUKIT PANJANG,5 ROOM,575000.0,0.3064516129032258,78.78228168264111,2504,1,"Newer, High-Growth",708000.0
BUKIT PANJANG,EXECUTIVE,700000.0,0.3371475275847977,73.86458333333333,872,0,Premium,855000.0
BUKIT TIMAH,3 ROOM,442500.0,0.13080684596577016,52.92845911949686,106,2,Mature & Affordable,
BUKIT TIMAH,4 ROOM,666500.0,0.17272444858651756,61.28465732087227,214,0,Premium,930000.0
BUKIT TIMAH,5 ROOM,900000.0,0.26811594202898553,62.26222222222223,150,0,Premium,1045000.0
BUKIT TIMAH,EXECUTIVE,1029000.0,0.32935901776056675,66.70689655172414,116,0,Premium,1410000.0
CENTRAL AREA,2 ROOM,288000.0,0.29667628865979384,53.95065789473684,76,2,Mature & Affordable,
CENTRAL AREA,3 ROOM,448000.0,0.17718446601941748,56.299912625600705,763,2,Mature & Affordable,517500.0
CENTRAL AREA,4 ROOM,841500.0,0.0523051051051051,75.48419540229885,754,0,Premium,830000.0
CENTRAL AREA,5 ROOM,1068000.0,0.26732673267326734,84.06043956043956,273,0,Premium,1250500.0
CHOA CHU KANG,2 ROOM,290000.0,0.3617021276595745,91.5713141025641,104,1,"Newer, High-Growth",
CHOA CHU KANG,3 ROOM,369000.0,0.3581195675217299,78.85834502103786,713,1,"Newer, High-Growth",495888.0
CHOA CHU KANG,4 ROOM,470000.0,0.4444444444444444,78.79727839247106,5242,1,"Newer, High-Growth",562500.0
CHOA CHU KANG,5 ROOM,550000.0,0.41379310344827586,78.96366648511255,3672,1,"Newer, High-Growth",631000.0
CHOA CHU KANG,EXECUTIVE,633888.0,0.395985401459854,72.40622076707203,1069,1,"Newer, High-Growth",876500.0
CLEMENTI,2 ROOM,338000.0,0.25384615384615383,83.74358974358975,52,1,"Newer, High-Growth",
CLEMENTI,3 ROOM,370000.0,0.275,62.18177147554459,2433,2,Mature & Affordable,445000.0
CLEMENTI,4 ROOM,628888.0,0.3071297989031079,72.92555442695107,1969,0,Premium,700000.0
CLEMENTI,5 ROOM,799000.0,0.30434782608695654,72.34219348659003,696,0,Premium,1172500.0
CLEMENTI,EXECUTIVE,876500.0,0.218863361547763,62.110772357723576,164,0,Premium,1060000.0
GEYLANG,2 ROOM,235000.0,0.33251833740831294,49.498245614035085,190,2,Mature & Affordable,
GEYLANG,3 ROOM,320000.0,0.27697841726618705,56.486285362853636,2710,2,Mature & Affordable,398400.0
GEYLANG,4 ROOM,603000.0,0.2744721689059501,71.3132744733581,2152,0,Premium,669888.0
GEYLANG,5 ROOM,753000.0,0.24242424242424243,65.18330972615675,706,0,Premium,833000.0
GEYLANG,EXECUTIVE,838000.0,0.26651733333333333,64.06029185867895,217,0,Premium,
HOUGANG,2 ROOM,357000.0,0.5531914893617021,92.6593567251462,228,1,"Newer, High-Growth",382500.0
HOUGANG,3 ROOM,368000.0,0.4482758620689655,67.66845284489477,2566,1,"Newer, High-Growth",448000.0
HOUGANG,4 ROOM,497000.0,0.43,74.87501511852926,5512,1,"Newer, High-Growth",640000.0
HOUGANG,5 ROOM,625000.0,0.3786407766990291,74.79925258719815,2609,1,"Newer, High-Growth",779444.0
HOUGANG,EXECUTIVE,784500.0,0.3235294117647059,68.40208333333332,1240,0,Premium,960000.0
JURONG EAST,2 ROOM,265000.0,0.36666666666666664,91.18996415770609,93,1,"Newer, High-Growth",
JURONG EAST,3 ROOM,348000.0,0.3508771929824561,64.20371456500489,1705,2,Mature & Affordable,383000.0
JURONG EAST,4 ROOM,461643.0,0.24390243902439024,70.28522099447514,1448,2,Mature & Affordable,597000.0
JURONG EAST,5 ROOM,600000.0,0.25333333333333335,66.59001743679163,1147,0,Premium,680000.0
JURONG EAST,EXECUTIVE,765000.0,0.26666666666666666,69.56058990760484,469,0,Premium,892500.0
JURONG WEST,2 ROOM,300300.0,0.42731277533039647,86.38967611336032,247,1,"Newer, High-Growth",365000.0
JURONG WEST,3 ROOM,315000.0,0.39453101315709693,63.81714706845725,3053,2,Mature & Affordable,397500.0
JURONG WEST,4 ROOM,450000.0,0.3783783783783784,75.10575567957608,5913,1,"Newer, High-Growth",530025.0
JURONG WEST,5 ROOM,525000.0,0.31868131868131866,76.87842419311093,4916,1,"Newer, High-Growth",649444.0
JURONG WEST,EXECUTIVE,630000.0,0.3027027027027027,73.04790511398645,1623,0,Premium,743000.0
KALLANG/WHAMPOA,2 ROOM,270000.0,0.3391304347826087,51.503753753753756,111,2,Mature & Affordable,
KALLANG/WHAMPOA,3 ROOM,366800.0,0.3258785942492013,59.54701603483063,3139,2,Mature & Affordable,487999.0
KALLANG/WHAMPOA,4 ROOM,703000.0,0.49616,77.06728192007797,2736,1,"Newer, High-Growth",880000.0
KALLANG/WHAMPOA,5 ROOM,800000.0,0.2570621468926554,71.70205384401888,1201,0,Premium,930000.0
KALLANG/WHAMPOA,EXECUTIVE,860000.0,0.235,64.97943722943724,154,0,Premium,915000.0
MARINE PARADE,3 ROOM,415000.0,0.17894736842105263,52.51270396270397,715,2,Mature & Affordable,510500.0
